rightwing,gender,age,extraverted,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional
46,male,20,1,4,5,5,5,6,5,3,4,2
24,male,19,3,5,6,2,6,6,5,6,6,3
28,male,18,5,3,6,6,5,6,7,3,6,3
42,female,25,6,1,6,1,7,4,7,5,7,4
27,male,16,3,5,6,5,5,6,4,5,6,3
35,male,24,1,2,1,5,4,7,6,1,4,5
87,female,14,6,1,5,5,7,3,6,4,3,3
43,male,15,7,3,5,2,6,1,4,7,3,2
86,female,24,4,5,6,4,7,5,5,3,5,3
22,female,31,2,5,4,7,6,7,5,7,5,6
26,female,26,1,6,6,6,2,7,5,6,3,5
52,male,24,2,3,5,2,4,6,3,6,6,2
54,female,39,6,3,7,6,7,6,6,5,4,1
102,male,68,4,1,7,2,4,5,6,2,7,5
65,male,18,1,6,6,1,5,7,1,5,7,5
39,male,20,2,4,3,3,5,7,5,3,4,5
116,male,22,1,4,5,6,2,6,4,4,3,5
20,female,15,6,5,7,5,7,5,7,2,5,1
34,male,17,4,7,6,2,5,4,6,7,7,5
64,male,16,5,5,4,5,6,4,5,6,4,3
71,male,16,6,3,5,3,6,2,5,4,3,1
125,female,18,2,7,6,2,6,5,1,5,7,2
26,male,27,3,5,6,5,6,5,5,4,5,5
27,male,32,6,6,2,6,6,1,7,7,6,3
25,male,17,5,5,4,3,5,5,5,5,5,7
77,male,18,6,5,4,3,2,4,3,3,6,2
20,male,25,4,1,5,4,7,7,7,7,6,1
48,female,22,7,7,6,5,7,1,7,4,2,1
48,female,62,7,5,7,7,6,1,7,1,2,2
25,female,13,1,7,4,5,7,7,1,7,6,1
55,male,18,3,6,3,5,5,6,3,6,7,2
20,female,28,3,5,1,5,7,1,6,3,3,1
65,male,24,7,7,6,4,5,4,4,3,4,1
68,male,16,6,6,1,3,6,3,2,4,3,5
58,female,15,2,7,6,7,7,5,1,1,6,1
36,female,16,3,5,6,1,7,4,5,6,7,3
31,female,33,5,6,2,7,7,4,5,6,1,4
57,male,20,1,6,6,2,5,6,5,5,6,6
120,male,58,6,6,7,6,6,6,6,2,3,1
107,male,19,7,5,3,5,6,1,4,5,2,1
27,female,41,3,0,5,6,7,2,7,5,5,2
23,male,21,4,7,5,7,6,6,3,4,1,1
110,male,28,2,1,5,2,7,5,6,5,6,4
114,male,15,1,6,6,3,7,6,5,2,3,5
38,male,18,6,6,1,2,7,2,6,7,5,1
20,female,29,3,5,7,2,7,6,2,3,7,1
32,female,18,1,2,3,7,6,7,6,5,1,2
102,male,19,2,5,7,4,3,6,5,2,6,6
30,female,33,3,6,2,6,7,5,5,6,2,1
67,male,22,6,6,4,5,5,6,6,6,4,2
152,male,15,5,4,7,1,7,6,6,1,6,7
94,male,14,5,7,4,6,7,2,6,6,3,2
63,male,63,3,5,7,1,5,6,6,2,6,4
115,female,17,1,7,5,2,1,7,1,6,5,6
25,female,23,6,7,7,6,7,6,5,6,1,1
62,male,30,2,5,6,6,5,6,5,5,2,4
24,male,14,4,7,7,7,7,1,3,7,1,1
20,male,16,3,7,6,6,5,5,6,4,6,5
45,male,43,4,2,3,5,5,5,6,3,6,4
20,female,27,1,6,6,6,6,6,6,3,3,1
26,female,43,7,4,6,1,6,1,7,1,6,2
34,female,48,6,5,6,4,6,4,6,3,6,3
20,female,27,2,3,7,6,6,5,5,1,3,1
34,female,21,3,3,2,1,7,6,7,1,7,6
40,male,18,5,5,4,7,7,5,6,7,5,1
54,male,22,5,6,7,5,7,7,5,4,5,1
112,male,16,4,5,5,6,5,7,5,1,6,3
22,male,25,1,5,7,5,6,7,5,6,5,1
